zoo,Scientific name,Common name,Given name,gender,Date of birth,age,isTransportable
œ∑´®†¥¨ˆøπ“‘,Choriotis kori,Kori bustard,Patrizio,Male,10/4/2023,18-552-3175,false
١٢٣,Spermophilus tridecemlineatus,"Squirrel, thirteen-lined",Clyve,Male,4/7/2024,19-736-1362,false
!@#$%^&*(),Coendou prehensilis,"Porcupine, prehensile-tailed",Preston,Non-binary,8/28/2023,33-826-6309,true
1E+02,Naja haje,"Cobra, egyptian",Shurlock,Male,5/30/2023,25-861-7527,true
../../../../../../../../../../../etc/hosts,Passer domesticus,"Sparrow, house",Quent,Male,2/27/2024,64-260-3026,false
１２３,Sus scrofa,"Boar, wild",Gerladina,Female,2/18/2024,29-089-1815,true
᠎,Naja haje,Egyptian cobra,Odey,Male,12/5/2023,47-654-2065,true
パーティーへ行かないか,Naja haje,Egyptian viper,Karlan,Male,11/5/2023,79-836-5036,true
👩🏽,Larus dominicanus,Kelp gull,Nikos,Male,9/27/2023,46-539-3721,true
œ∑´®†¥¨ˆøπ“‘,Trichosurus vulpecula,"Possum, common brushtail",Elvyn,Male,11/26/2023,64-966-3853,false
00˙Ɩ$-,Spermophilus richardsonii,"Squirrel, richardson's ground",Brantley,Male,2/15/2024,41-959-1064,false
⁦test⁧,Melanerpes erythrocephalus,Red-headed woodpecker,Meade,Male,2/28/2024,65-636-6946,true
⁰⁴⁵,Alces alces,Moose,Ignaz,Bigender,6/15/2023,07-851-6042,true
../../../../../../../../../../../etc/hosts,Psophia viridis,Green-winged trumpeter,Gino,Male,7/10/2023,17-364-1132,true
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Litrocranius walleri,Gerenuk,Lenka,Polygender,11/10/2023,77-280-8251,true
"""'""'""''''""",Sylvicapra grimma,Gray duiker,Cory,Non-binary,5/12/2023,20-789-3601,false
 ,Propithecus verreauxi,"Sifaka, verreaux's",Ulrika,Female,10/1/2023,26-657-2566,true
・(￣∀￣)・:*:,Uraeginthus angolensis,Blue-breasted cordon bleu,Demott,Male,12/21/2023,21-124-9051,true
 test ,Canis dingo,Dingo,Hirsch,Male,11/26/2023,59-877-8007,false
1;DROP TABLE users,Cercopithecus aethiops,"Monkey, vervet",Charil,Female,1/11/2024,01-937-3306,true
NIL,Felis caracal,Caracal,Domini,Female,4/6/2024,54-227-4440,true
œ∑´®†¥¨ˆøπ“‘,Ovis canadensis,American bighorn sheep,Nikoletta,Female,3/26/2024,61-529-6016,false
 test ,Gymnorhina tibicen,Australian magpie,Clara,Female,10/30/2023,61-331-4192,true
!@#$%^&*(),Pycnonotus nigricans,Black-fronted bulbul,Brenn,Female,12/21/2023,82-493-3948,true
1/0,Dasypus novemcinctus,"Armadillo, common long-nosed",Byrann,Male,8/26/2023,13-392-7717,false
'',Trichosurus vulpecula,Golden brush-tailed possum,Katha,Female,1/7/2024,43-692-8396,true
和製漢語,Ursus maritimus,Polar bear,Ellerey,Male,12/8/2023,73-569-4242,true
`⁄€‹›ﬁﬂ‡°·‚—±,Columba palumbus,Wood pigeon,Orlan,Male,6/1/2023,39-153-7785,true
🐵 🙈 🙉 🙊,Felis concolor,"Lion, mountain",Simona,Female,6/8/2023,42-405-2628,true
